review,Folio Solicitud,Tipo PST,Nombre Comercial,Calle,Colonia,Estado,Municipio
,0401001804798,Agencia de viajes,BRÚJULA NEGRA AGENCIA DE VIAJES,Ignacio T. Chávez,Las Flores,Aguascalientes,Aguascalientes
,0401001262a1e,Agencia de viajes,AGENCIA DE VIAJES REVENTOUR,General Barragán,Zona Centro,Aguascalientes,Aguascalientes
,010100191f127,Hospedaje,HOTEL QUINTA REAL AGUASCALIENTES,Avenida Aguascalientes ,Jardines de La Asunción,Aguascalientes,Aguascalientes
,02010030e1d21,Alimentos y bebidas,RESTAURANT LAS TRANCAS,Boulevard Rodolfo Landeros Gallegos,La Panadera,Aguascalientes,Calvillo
,040100178cc73,Agencia de viajes,SHEKINAH TOURS,Loma Azul,Lomas del Mirador,Aguascalientes,Aguascalientes
,0401001427b42,Agencia de viajes,SOMIA TRAVELS,Sierra de las Palomas,Bosques del Prado Sur,Aguascalientes,Aguascalientes
,02010010fc765,Alimentos y bebidas,LAS TORTAS DE ALBAÑIL,Avenida Las Huertas,La Herradura,Aguascalientes,Aguascalientes
,0401001c110a9,Agencia de viajes,AGENCIA DE VIAJES BELLATOURS SUC,Avenida Siglo XXI,Municipio Libre,Aguascalientes,Aguascalientes
,040100175e8b9,Agencia de viajes,VIAJES CIELITO LINDO,Miguel Meneses,La Purísima,Aguascalientes,Aguascalientes
,01010018f03d0,Hospedaje,IBIS AGUASCALIENTES NORTE,Boulevard Aguascalientes Zacatecas ,Arroyo El Molino,Aguascalientes,Aguascalientes
,040100571c720,Agencia de viajes,CHICAHUAL SIN RUMBO,Beltrán,Jesús María Centro,Aguascalientes,Jesús María
,04010019905e5,Agencia de viajes,VIAJA TUS SUEÑOS,Circuito Prieto Azabache,Cavalia,Aguascalientes,Aguascalientes
,0401001926837,Agencia de viajes,"VIAJERO CHECK IN ""AGENCIA DE VIAJES""", General Ignacio Zaragoza,Trojes de Alonso,Aguascalientes,Aguascalientes
