nombre,estado,municipio,ciudad,cp,lat,lon
Calle Diego de Montemayor,Nuevo León,Monterrey,Monterrey,64018,25.668143,-100.30726517540684
Ciudad Victoria,Nuevo León,Monterrey,Monterrey,64320,25.7171893,-100.350007
Zacatepec,Nuevo León,Monterrey,Monterrey,64180,25.7237507,-100.343285
Avenida Fidel Velázquez,Nuevo León,Monterrey,Monterrey,64190,25.7206368,-100.33768
Xilofactos,Nuevo León,Monterrey,Monterrey,64190,25.72066875,-100.33773299103618
Avenida Rodrigo Gómez,Nuevo León,Monterrey,Monterrey,64270,25.7239937,-100.342384
Avenida Doctor José Eleuterio González,Nuevo León,Monterrey,Monterrey,64630,25.6844385,-100.3518213
Avenida Cristóbal Colón,Nuevo León,Monterrey,Monterrey,64000,25.6870615,-100.3286672
Avenida Alfonso Reyes,Nuevo León,Monterrey,Monterrey,64290,25.7082837,-100.3146315376881
Avenida Insurgentes,Nuevo León,Monterrey,Monterrey,64640,25.6832114,-100.355301
Calzada Guadalupe Victoria,Nuevo León,Monterrey,Monterrey,66250,25.6902733,-100.32045334203143
Avenida Churubusco,Nuevo León,Monterrey,Monterrey,64590,25.684345999999998,-100.26943452200882
Avenida Churubusco,Nuevo León,Monterrey,Monterrey,64590,25.684377,-100.269407
Calzada Prolongación Francisco I. Madero,Nuevo León,Monterrey,Monterrey,64590,25.6852683,-100.27217539258143
Avenida Doctor Ignacio Morones Prieto,Nuevo León,Guadalupe,Guadalupe,64590,25.6802132,-100.2692246
Avenida Miguel Alemán Valdés,Nuevo León,Guadalupe,Guadalupe,64590,25.6887612,-100.2594308
Calzada Francisco I. Madero,Nuevo León,Monterrey,Monterrey,64580,25.6828215,-100.2842547
Calle José Silvestre Aramberri,Nuevo León,Monterrey,Monterrey,64820,25.67641115,-100.28873920770789
Calle José Silvestre Aramberri,Nuevo León,Monterrey,Monterrey,64010,25.6763995,-100.2887478
Calle Francisco Márquez,Nuevo León,Monterrey,Monterrey,64820,25.6789039,-100.2903237
Calle Carlos Salazar,Nuevo León,Monterrey,Monterrey,64010,25.6796068,-100.2906771
